/Users/bryanantonelli/Library/Python/3.9/lib/python/site-packages/urllib3/__init__.py:35: NotOpenSSLWarning: urllib3 v2 only supports OpenSSL 1.1.1+, currently the 'ssl' module is compiled with 'LibreSSL 2.8.3'. See: https://github.com/urllib3/urllib3/issues/3020
  warnings.warn(

🔍 INGEST STARTUP
• CHANNELS_DIR: /Users/bryanantonelli/forged-by-freedom/ingest/channels
• Pinecone index: forged-freedom-ai
• Embedding model: text-embedding-3-large
• Chunk tokens: 3000
• Episodes to ingest: 4184
🚀 BEGIN INGEST

✅ [140/4184] @bodybuildingcom | unknown | Spider Curl - Biceps Exercise - Bodybuil... | 1 chunks
✅ [141/4184] @bodybuildingcom | unknown | Meet the Newest Bodybuilding.com Coaches... | 1 chunks
✅ [142/4184] @bodybuildingcom | unknown | Train Abs with Mario Lopez - Bodybuildin... | 1 chunks
✅ [143/4184] @bodybuildingcom | unknown | How I Became Jamie Eason's Cart Boy -- B... | 1 chunks
✅ [144/4184] @bodybuildingcom | unknown | Ashley Conrad's 7-Day Clutch Cleanse - B... | 1 chunks
✅ [145/4184] @bodybuildingcom | unknown | 2011 Arnold Classic Rap - Bodybuilding.c... | 1 chunks
✅ [146/4184] @bodybuildingcom | Nick Scott Fitness 360 | Becoming The Beast ｜ Nick Scott Fitness ... | 1 chunks
✅ [147/4184] @bodybuildingcom | unknown | Getting Ripped and Cover Ready - Part 2 ... | 1 chunks
✅ [148/4184] @bodybuildingcom | unknown | Look Strong, Lift Strong： Layne Norton's... | 1 chunks
✅ [149/4184] @bodybuildingcom | unknown | Plank ⧸ Planking - Ab Exercises - Bodybu... | 1 chunks
✅ [150/4184] @bodybuildingcom | unknown | Training With Nikia Dyson -- Bodybuildin... | 1 chunks
✅ [151/4184] @bodybuildingcom | unknown | Testosterone Replacement Therapy (TRT)： ... | 1 chunks
✅ [152/4184] @bodybuildingcom | unknown | BodySpace Demo Part 2： Dashboard Introdu... | 1 chunks
✅ [153/4184] @bodybuildingcom | unknown | Ashley Horner's Full-Body Tabata Workout... | 1 chunks
✅ [154/4184] @bodybuildingcom | unknown | Fit Dreams Come True With Diana Chaloux ... | 1 chunks
✅ [155/4184] @bodybuildingcom | unknown | Natural Ways To Boost Testosterone... | 1 chunks
✅ [156/4184] @bodybuildingcom | unknown | Stop Doing Leg Extensions Like This!!! #... | 1 chunks
✅ [157/4184] @bodybuildingcom | unknown | Dorian Yates Answers Bodybuilding.com Fa... | 1 chunks
✅ [158/4184] @bodybuildingcom | unknown | Tricep Dumbbell Kickback - Tricep Exerci... | 1 chunks
✅ [159/4184] @bodybuildingcom | unknown | Kris Gethin & Team Grenade Ab Workout - ... | 2 chunks
✅ [160/4184] @bodybuildingcom | unknown | Throwback Shoulder Workout with James Gr... | 2 chunks
✅ [161/4184] @bodybuildingcom | unknown | Standing Dumbbell Upright Row - Shoulder... | 1 chunks
✅ [162/4184] @bodybuildingcom | unknown | Seth Feroce's Training & Fitness Program... | 1 chunks
✅ [163/4184] @bodybuildingcom | unknown | WORKOUT PREVIEW： Strength for Athletes #... | 1 chunks
✅ [164/4184] @bodybuildingcom | unknown | Arnold Dumbbell Press - Shoulder Exercis... | 1 chunks
✅ [165/4184] @bodybuildingcom | unknown | Ashley Conrad's High-Intensity Leg Circu... | 1 chunks
✅ [166/4184] @bodybuildingcom | Clutch Life： Ashley Conrad's 24⧸7 Fitness Trainer - Day 4 | 20 Minute at Home Flexibility Workout ｜ ... | 2 chunks
✅ [167/4184] @bodybuildingcom | unknown | Meet Bodybuilding.com Master Coach ｜ CRA... | 1 chunks
✅ [168/4184] @bodybuildingcom | unknown | 2012 Mr. Olympia Highlight Reel - Bodybu... | 1 chunks
✅ [169/4184] @bodybuildingcom | unknown | Bodybuilding.com Spokesmodel Search 2016... | 1 chunks
✅ [170/4184] @bodybuildingcom | unknown | Rodney Razor's Training, Diet, and Nutri... | 1 chunks
✅ [171/4184] @bodybuildingcom | unknown | Ashley Schutz  - 'Lift Life' Bodybuildin... | 1 chunks
✅ [172/4184] @bodybuildingcom | Cory Gregory's Squat Every Day Training Program | Program Overview ｜ Cory Gregory's Squat ... | 1 chunks
✅ [173/4184] @bodybuildingcom | unknown | Get Mile Wide - Brandan Fokken's Mile-Wi... | 1 chunks
✅ [174/4184] @bodybuildingcom | Ep. 19 ｜ Alex Silver-Fagan ｜ Bodybuilding.com | Intentional Movement Theories & Finding ... | 4 chunks
✅ [175/4184] @bodybuildingcom | unknown | CT Fletcher's Commandment #1 Of Muscle G... | 1 chunks
✅ [176/4184] @bodybuildingcom | The Westside Method EP 4 | Breaking Down the Results of Four Weeks ... | 1 chunks
✅ [177/4184] @bodybuildingcom | unknown | Marc Megna's Lifting Lessons： Barbell Bi... | 1 chunks
✅ [178/4184] @bodybuildingcom | unknown | Elite by Bodybuilding.com ｜ Thermo + BCA... | 1 chunks
✅ [179/4184] @bodybuildingcom | 30 Minute at Home Strength Workout ｜ Clutch Life： Ashley Conrad's 24⧸7 Fitness Trainer | Day 1 ｜ 30 Minute at Home Strength Worko... | 3 chunks
✅ [180/4184] @bodybuildingcom | unknown | Clean and Jerk - Shoulders ⧸ Legs ⧸ Back... | 1 chunks
✅ [181/4184] @bodybuildingcom | unknown | Kris Gethin's Quad Radical Equation Work... | 2 chunks
✅ [182/4184] @bodybuildingcom | unknown | One-Arm Dumbbell Row - Back Exercise - B... | 1 chunks
✅ [183/4184] @bodybuildingcom | Built By Science | Back Anatomy & Training Program ｜ Built ... | 2 chunks
✅ [184/4184] @bodybuildingcom | unknown | NFL Combine Trainer： Vertical Jump - Bod... | 1 chunks
✅ [185/4184] @bodybuildingcom | unknown | Living Large： Jay Cutler's 8-Week Mass-B... | 1 chunks
✅ [186/4184] @bodybuildingcom | unknown | Add Strength & Size With Mike O'Hearn's ... | 1 chunks
✅ [187/4184] @bodybuildingcom | Clutch Life： Ashley Conrad's 24⧸7 Fitness Trainer | At Home Cardio and Core Workout ｜ Clutch... | 4 chunks
✅ [188/4184] @bodybuildingcom | Ep. 08 ｜ Kristen Lettenberger ｜ Pelvic Floor Health and Breathing | The Bodybuilding.com Podcast ｜ Ep. 08 ｜ ... | 5 chunks
✅ [189/4184] @bodybuildingcom | unknown | Abel Albonetti's Ultimate Back Workout... | 1 chunks
✅ [190/4184] @bodybuildingcom | unknown | Ben Affleck's Nutrition Plan for ＂The To... | 1 chunks
✅ [191/4184] @bodybuildingcom | unknown | Smith Machine Squat - Leg Exercise - Bod... | 1 chunks
✅ [192/4184] @bodybuildingcom | unknown | Lee Labrada 12-Week Lean Body Workout & ... | 1 chunks
✅ [193/4184] @bodybuildingcom | unknown | Bill Phillips & Ryan DeLuca： Titans Of T... | 1 chunks
✅ [194/4184] @bodybuildingcom | Chad Hollmer | Wide-Back, Boulder-Shoulder Workout ｜ Ch... | 1 chunks
✅ [195/4184] @bodybuildingcom | unknown | NFL Combine Trainer： Overview - Bodybuil... | 1 chunks
✅ [196/4184] @bodybuildingcom | unknown | 2015 True Strength Student Challenge - L... | 1 chunks
✅ [197/4184] @bodybuildingcom | unknown | Ashley Conrad's 21-Day Clutch Cut Traini... | 2 chunks
✅ [198/4184] @bodybuildingcom | unknown | Ben Affleck's Training  For ＂The Town＂ b... | 1 chunks
✅ [199/4184] @bodybuildingcom | Jamie Eason | Orange Almond Biscotti Cookies Recipe ｜ ... | 1 chunks
✅ [200/4184] @bodybuildingcom | unknown | Brendy Scheerer's Training & Fitness Pro... | 1 chunks
✅ [201/4184] @bodybuildingcom | unknown | WORKOUT PREVIEW： Lower Body #2 with Kris... | 1 chunks
✅ [202/4184] @bodybuildingcom | unknown | It's Your Life (Motocross) ｜ 2010 Bodybu... | 1 chunks
✅ [203/4184] @bodybuildingcom | unknown | How to Increase Mile Splits with 5K Bloc... | 1 chunks
✅ [204/4184] @bodybuildingcom | unknown | Steve Cook's Big Man On Campus Training ... | 1 chunks
✅ [205/4184] @bodybuildingcom | Brian Casad | Arm Building Superset Workout ｜ Brian Ca... | 1 chunks
✅ [206/4184] @bodybuildingcom | unknown | Push Press - Shoulder Exercise - Bodybui... | 1 chunks
✅ [207/4184] @bodybuildingcom | Clutch Life： Ashley Conrad's 24⧸7 Fitness Trainer | 40 Minute at Home Full-Body Workout： Day... | 3 chunks
✅ [208/4184] @bodybuildingcom | Jim Stoppani | Push Your Strength Chest Workout ｜ Jim S... | 1 chunks
✅ [209/4184] @bodybuildingcom | unknown | Week 2 Prep Contest - $200,000 Transform... | 1 chunks
✅ [210/4184] @bodybuildingcom | Gaming Supplement Line for Focus, Energy and Sleep | Remix Nutrition, by Bodybuilding.com ｜ G... | 1 chunks
